State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
FR;EU;Online S.a.s.;0;0;0.2;86;21;0;0.48;17;16;0;0.0;9;0;0;0.12;66;9;0;0.0;0.0
FR;EU;Ecritel SASU;1;0;0.31;71;32;0;0.84;5;27;1;0.0;7;0;0;0.14;63;10;0;0.33;0.4
MK;EU;Univerzitet Sv. Kiril i Metodij;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;alwaysON Limited;0;0;0.21;85;22;0;0.49;18;17;0;0.0;9;0;0;0.12;64;9;0;0.0;0.0
PL;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;MDNX;0;0;0.24;38;12;0;0.53;9;10;1;0.0;3;0;0;0.1;28;3;0;0.33;0.2
BY;EU;Pe netberry;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
RU;EU;JSC ER-Telecom Holding;0;0;0.2;82;20;0;0.5;15;15;0;0.0;9;0;0;0.12;64;9;0;0.0;0.0
DK;EU;Danish network for Research and Education;0;0;0.2;86;21;0;0.5;16;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;IONOS SE;0;0;0.23;80;24;0;0.61;12;19;1;0.0;9;0;0;0.12;65;9;0;0.33;0.2
DE;EU;Baumann Technologie GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;R-KOM Telekommunikationsgesellschaft mbH & Co. KG;0;0;0.21;87;23;0;0.51;17;18;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
GB;EU;Pulsant (Scotland) Ltd;0;0;0.2;80;20;0;0.5;15;15;0;0.0;7;0;0;0.13;62;9;0;0.0;0.0
IE;EU;M247 Ltd;0;0;0.23;84;25;0;0.47;18;16;0;0.11;8;1;0;0.16;64;12;0;0.0;0.0
DK;EU;Danish network for Research and Education;0;0;0.21;84;22;0;0.55;14;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
GB;EU;LEVEL3;0;0;0.26;77;27;0;0.5;17;17;0;0.12;7;1;0;0.18;58;13;0;0.0;0.0
